Address,Postcode,Latitude,Longitude
Orkney Shetland Northern Isles Freightways Ltd Blaikies Quay,AB11 5PU,57.144334,-2.086548
Aberdeen Dpd Bodentoy Drive Bodentoy Ind Estate (north) Aberdeen,AB12 4ZD,57.073672,-2.153629
Radlett 5 Victor Way Radlett Road St Albans,AL2 2FL,51.705177,-0.326807
Oldbury Broadwell Works Birmingham Road West Midlands,B69 4BF,52.5056004,-2.0035103
Bournemouth Unit 12 Cobham Gate Vulcan Way Dorset,BH21 7BU,50.807585,-1.912559
Burgess Hill Gothard Green Way Goodards Green,BN6 9ZJ,50.968468,-0.166932
Bristol Dpd Oakwood Drive Bristol,BS16 7LR,51.501705,-2.466686
"Down Down Depot Maryland Ind Est Castlereagh, Down  ",BT23 6BL,54.549636,-5.837841
"Antrim South Antrim, Unit 3 Trench Park Mallusk, Antrim  ",BT36 4TY,54.68019,-5.999478
"South Down South Down 10, Old Mill Road Craigavon  ",BT36 6NL,54.326553,-6.356318
"North Antrim Unit 6, Plasketts Close Kilbegs Business Park Antrim  ",BT41 4LY,54.731281,-6.23604
West N.ireland Derry Depot Unit 3-17 Deerpark Road Magherafelt,BT45 8LB,54.76111,-6.492688
Tyrone 130 Clovenden Road Loughgall,BT61 8LE,54.428571,-6.64567
Armagh Unit 19a 45 Cloncore Road County Armagh,BT62 1UT,54.481256,-6.521423
"Carlisle Unit D, Kings Drive Kingsmoor Park South Carlisle  ",CA6 4RD,54.920261,-2.966254
Cardiff Wentloog Corporation Ind Park Wentloog Avenue,CF3 2ER,51.508315,-3.095768
"Deeside Zone2, Unit 43 Deeside Ind Est Flintshire  ",CH5 2NU,53.229349,-3.002517
Chelmsford 2 James Fenton Way Sheepcoats Essex,CM2 5AN,51.746675,0.518903
Springfield Dukes Park Ind Est 1 Montrose Road Essex,CM2 6TE,51.743041,0.503497
"London South Unit 1, Beddington Farm Road Off Purley Way Surrey  ",CR0 4XB,51.38065,-0.129585
"Dartford Unit 21, Fawkes Avenue Questor Ind Est  ",DA1 1JQ,51.432815,0.221794
Dundee Fowler Rd West Pitkerro Industrial Estate Dundee,DD5 3RU,56.48717,-2.887902
Durham Unit 18 Cathedral Park Durham,DH1 1TF,54.787964,-1.53535
Goole Ozone Way Goole,DN14 7SE,53.736889,-0.882036
"Dudley Port Dpd Dudley Port Vaughan Industrial Estate (vaughan Park) Tipton, West Midlands  ",DY4 7UJ,52.520583,-2.049838
"Edinburgh Dpd Edinburgh 25, Cliftonhall Road Edinburgh  ",EH28 8PW,55.932701,-3.4074929
Enfield 5 Morson Road Ponders End Essex,EN3 4NQ,51.638261,-0.03384
Exeter Unit 1 Spitfire Avenue Skypark Exeter,EX5 2FR,50.736847,-3.428758
Glasgow 104 Fullarton Drive Cambuslang Investment Park Glasgow,G32 8FA,55.832407,-4.168197
Tannochside Unit 3 Tannochside Drive Glasgow,G71 5PD,55.837182,-4.065167
Gloucester Jessop Court Waterwells Business Park Gloucester,GL2 2AP,51.810114,-2.269873
Guildford Prime 24 Lyon Way Surrey,GU16 7EX,51.315279,-0.746296
Barking Unit 1 Segro Park Newham Barking,IG11 7SD,51.527877,0.075253
Ipswich 1 Beardmore Park Martlesham Heath,IP5 3RX,52.064211,1.278204
Northern Highlands Menzies Distribution Ltd 33 Harbour Road,IV1 1UA,57.484319,-4.215673
Arran Arran Deliveries 11 Brisbane Street Scotland,KA30 8QW,55.80145,-4.86921
Liverpool 19 Sugarbrook Drive Stonebridge Business Park Liverpool,L11 2BD,53.458489,-2.912813
"Carnforth Unit 6, Keer Park Warton Road  ",LA5 9FG,54.131017,-2.769848
Builth Wells Unit 5 Irfon Ind Est Garth Rd Powys,LD2 3NL,52.149041,-3.413975
Hinckley Hinckley Depot Logix Road Leicestershire,LE10 3BQ,52.52702,-1.390329
"Leicester Unit B, Optimus Point Kirby Road, Glenfield  ",LE3 8DX,52.64897,-1.217494
Abergele Tir Llwyd Enterprise Park Kimnel Bay,LL18 5JZ,53.297592,-3.518287
Lincoln Dpd Lincoln Electric Avenue Lincoln,LN6 9BJ,53.149409,-0.671735
Leeds Dpd Leeds Howley Park Leeds,LS27 0FU,53.734538,-1.6042
"Dunstable Dpd Unit 4, Humphrys Road Woodside Industrial Estate Bedfordshire  ",LU5 4TP,51.896376,-0.504836
"Middleton Unit 2 Satellite Park, Middleton  ",M24 1RU,53.534306,-2.173976
Manchester Bessemer Road Northbank Ind Est Manchester,M44 5BF,53.431065,-2.42719
Sittingbourne Styles Close Eurolink 4 Kent,ME10 3FZ,51.346113,0.76311
Maidstone Unit C Riverside Bus Park New Hythe Lane Kent,ME20 6WT,51.3159637,0.457339
Glasgow Eurocentral 4 Woodside Holytown,ML1 4XL,55.8336702,-3.997319
Newcastle Unit 4 Monkton Business Park South Tyneside,NE31 2JZ,54.957294,-1.510071
Nottingham Unit 1 Blenheim Park Road Nottingham,NG6 8YP,53.01115,-1.223904
Raunds Unit 50 Warth Park Way Northamptonshire,NN9 6NY,52.349788,-0.550335
Snetterton Harling Road Snetterton Park Norfolk,NR16 2JU,52.471004,0.958616
West London 28 Commercial Way Park Royal,NW10 7XF,51.5350603,-0.2737634
"Park Royal Unit 5, Nucleus Park Park Royal  ",NW10 7XT,51.532529,-0.271047
Bicester Unit 1 Bicester Park Bicester,OX26 4SS,51.897559,-1.129983
"Argyll Menzies Distribution Ltd Unit 7, Lyon Road Linwood, Paisley  ",PA3 3BQ,55.842428,-4.493191
Peterborough Unit 4 Waterworth Road Peterborough,PE7 3AG,52.533919,-0.312862
Cornwall Station Approach Victoria Cornwall,PL26 8LG,50.418612,-4.829104
"Isle Of Wight Unit 2, New Barn Business Park. Newport Road Newport, Isle Of Wight  ",PO30 3BT,50.672075,-1.267715
Portsmouth Unit 6 Dunsbury Park Garwood Road Hampshire,PO9 4FE,50.87591,-1.00475
Preston Millenium Road Millenium City Park Lancs,PR2 5BL,53.786809,-2.648982
Newbury Dpd Newbury Hambridge Lane West Berkshire,RG14 5TU,51.398335,-1.291567
Reading Reading 2 Imperial Way Berkshire,RG2 0SL,51.42133,-0.970518
Gatwick Unit 2-4 Vector Point Crawley,RH10 9AU,51.131699,-0.174447
Crawley Unit 100 Focal Point Fleming Way West Sussex,RH10 9DF,51.1353253,-0.1825343
"Westerham Unit 1, Edward Way Burgess Hill  ",RH15 9UA,50.952963,-0.153439
"Dagenham Dagenham Depot Unit 2, Orion Park, Dagenham  ",RM9 6FF,51.528629,0.145414
Sheffield 11 Cowley Way Chapeltown,S35 1QP,53.452391,-1.4509349
Swansea Unit 17-19 Ffordd Parc Felindre Swansea,SA5 7DU,51.681642,-3.970443
"London City Unit 5, Mandela Way London  ",SE1 5SE,51.492762,-0.080152
Slough Unit 1a Ridgeway Distribution Centre Iver,SL0 9JQ,51.513913,-0.509446
Swindon Unit 3 Interface Park Royal Wootton Bassett,SN4 8SY,51.538071,-1.886235
Southampton Unit D1 Hamilton Way Southampton,SO30 2JR,50.92602,-1.305398
Stoke Shelton Boulevard Etruria Staffordshire,ST1 5GP,53.026219,-2.2021
"Bridgwater Bridgwater Depot Unit C, Woodlands Business Park Bridgwater  ",TA6 4FJ,51.155107,-2.985935
Teesside Macklin Avenue Cowpen Lane Industrial Estate,TS23 4BY,54.610953,-1.263027
Feltham Feltham Depot 3 Forest Road Middx,TW13 7DY,51.441882,-0.403961
Southall 3 Collet Way Southall Middlesex,UB2 4SE,51.506026,-0.364977
Warrington Unit 20 Langford Way Cheshire,WA4 4TQ,53.349619,-2.528768
"York Plot 5, Tribune Way Centurian Park York  ",YO30 4RY,53.985552,-1.09359
