Postcode,latitude,longitude
AB10 1AB,57.149606,-2.096916
AL10 0AA,51.764264,-0.226254
B10 0AB,52.47061,-1.875034
BA10 0AA,51.112261,-2.453879
BB10 1AA,53.796517,-2.242954
BD10 0AA,53.843677,-1.735406
BH10 4AA,50.745845,-1.904787
BL0 0AA,53.647755,-2.312381
BN10 7AA,50.794976,-0.0181
BR1 1AA,51.401546,0.015415
BS10 5AA,51.491352,-2.594832
BT10 0AA,54.565706,-5.973734
CA10 1AA,54.748763,-2.706027
CB10 1AA,52.021525,0.23922
CF10 1AA,51.479102,-3.178085
CH1 1AB,53.190776,-2.883588
CM0 7AA,51.66247,0.829465
CO10 0AB,52.061212,0.748146
CR0 0AA,51.34034,-0.005061
CT10 1AA,51.3602,1.436801
CV10 0AA,52.52675,-1.46076
CW10 0AA,53.187363,-2.444489
DA10 0AA,51.449904,0.308232
DD10 0AA,56.756236,-2.469021
DE1 0FD,52.914939,-1.465616
DG10 9AA,55.33458,-3.444841
DH1 1AB,54.786659,-1.530113
DL10 4AA,54.406732,-1.733884
DN10 4AA,53.445098,-0.849429
DT10 1AA,50.930245,-2.297914
DY10 1AA,52.386978,-2.25044
E10 5AB,51.572993,-0.008746
EC1A 1AA,51.525136,-0.111183
EH10 4AA,55.929196,-3.208949
EN10 6AA,51.728652,-0.025341
EX10 0AA,50.718356,-3.288576
FK10 1AA,56.117076,-3.794084
FY1 1AD,53.818696,-3.051848
G11 5AA,55.874894,-4.306979
GL10 2AA,51.744168,-2.283616
GU10 1AA,51.233412,-0.732006
HA0 1AB,51.539777,-0.303116
HD1 1AA,53.648438,-1.781545
HG1 1AA,53.993657,-1.541446
HP10 0AA,51.589328,-0.681431
HR1 1AA,52.060745,-2.710027
HS1 2AD,58.208782,-6.386334
HU10 6AA,53.754462,-0.441105
HX1 1AA,53.724334,-1.857458
IG10 1AD,51.647856,0.055809
IP10 0AA,52.034804,1.234475
IV10 8AA,57.580373,-4.119843
KA10 6AA,55.544393,-4.663074
KT10 0AA,51.376472,-0.337396
KW10 6AA,57.972714,-3.978597
KY10 2AA,56.205173,-2.764284
L10 0AD,53.469537,-2.915266
LA10 5AA,54.323614,-2.528814
LD1 5AB,52.253032,-3.370489
LE10 0AA,52.538351,-1.373826
LL11 0BY,53.048893,-3.000085
LN10 5DS,53.204793,-0.250484
LS10 1AB,53.762546,-1.50618
LU1 1AA,51.879977,-0.422926
M11 0AT,53.475506,-2.19135
ME10 1AA,51.340369,0.732667
MK10 0AA,52.031325,-0.687041
ML10 6AB,55.676743,-4.067835
N10 1AA,51.600529,-0.150711
NE10 0AD,54.955371,-1.574353
NG10 1AA,52.897228,-1.272167
NN10 0AA,52.291772,-0.597449
NP10 0AA,51.594701,-3.052313
NR10 3AA,52.72061,1.299213
NW10 0AA,51.55912,-0.249279
OL10 1AA,53.592114,-2.216685
OX10 0AB,51.600434,-1.122884
PA10 2AB,55.829996,-4.534617
PE10 0AA,52.779115,-0.385327
PH10 6AB,56.592508,-3.338053
PL10 1AA,50.347179,-4.218744
PO10 7AA,50.847337,-0.936055
PR0 2AA,53.758805,-2.683907
RG10 0AA,51.475505,-0.8605
RH10 0AG,51.116858,-0.188177
RM10 7AA,51.554173,0.168068
S10 1AE,53.38112,-1.498996
SA10 6AA,51.655731,-3.845975
SE10 0AA,51.487122,0.003284
SG10 6AA,51.850662,0.062527
SK10 1AA,53.261274,-2.129075
SL0 0AA,51.521717,-0.507758
SM1 1AA,51.359722,-0.193121
SN10 1AB,51.352603,-1.997337
SO14 0AA,50.907044,-1.399853
SP10 1AA,51.206329,-1.48174
SR1 1AE,54.904976,-1.376539
SS0 0AA,51.552111,0.677826
ST10 1AA,52.987971,-1.987965
SW10 0AA,51.477517,-0.17973
SY10 0AA,52.820915,-3.29238
TA10 0AA,51.014626,-2.889384
TD10 6AB,55.707217,-2.462767
TF10 7AA,52.768089,-2.378741
TN10 3AB,51.201644,0.276072
TQ10 9AA,50.426158,-3.83484
TR10 8AA,50.170941,-5.107406
TS10 1AB,54.618469,-1.071281
TW10 5AA,51.463405,-0.285825
